Datum;Uhrzeit;Deutschland/Luxemburg[Euro/MWh];Dänemark 1[Euro/MWh];Dänemark 2[Euro/MWh];Frankreich[Euro/MWh];Italien (Nord)[Euro/MWh];Niederlande[Euro/MWh];Polen[Euro/MWh];Schweden 4[Euro/MWh];Schweiz[Euro/MWh];Slowenien[Euro/MWh];Tschechien[Euro/MWh];Ungarn[Euro/MWh];Österreich[Euro/MWh];Deutschland/Österreich/Luxemburg[Euro/MWh]
22.06.2019;02:00;29,99;29,99;29,99;16,56;-;29,44;-;15,02;31,7;36,1;32,46;32,46;29,99;-
22.06.2019;03:00;29,92;29,92;29,92;16,35;-;29,28;-;2,91;31,2;35,97;32,42;32,42;29,92;-
22.06.2019;04:00;29,3;29,3;29,3;12,62;-;28,98;-;1,5;30,73;34,93;31,51;31,51;29,3;-
22.06.2019;05:00;29,06;29,06;29,06;17,63;-;28,59;-;2,4;30,32;30;30,55;30,55;29,06;-
22.06.2019;06:00;29,91;29,91;29,91;17,37;-;29,48;-;15,02;31,46;29,91;31,54;31,54;29,91;-
22.06.2019;07:00;32,57;32,57;32,57;26,94;-;32,36;-;23,92;34,96;35,1;34,8;38,9;32,57;-
22.06.2019;08:00;34,85;34,85;34,85;24,34;-;34,46;-;23,11;36,81;38,1;36,04;40,39;34,85;-
22.06.2019;09:00;31,98;31,98;31,98;28,67;-;31,86;-;23,96;32,86;43,77;34,47;45,43;31,98;-
22.06.2019;10:00;31,06;31,06;31,06;27,35;-;30,92;-;24,7;31,56;43,77;32,3;45,69;31,06;-
22.06.2019;11:00;29,98;29,98;29,98;24,76;-;29,79;-;25,37;30,99;42,3;30,8;42,37;29,98;-
22.06.2019;12:00;29,97;29,97;29,97;29,97;-;29,97;-;24,9;30,43;36,79;28,6;39,55;29,97;-
22.06.2019;13:00;28,55;28,55;28,55;28,55;-;28,55;-;24,31;30,08;35,13;28,4;37,64;28,55;-
22.06.2019;14:00;28,45;28,45;28,45;22,73;-;28,18;-;24,31;29,8;30,99;28,03;36,88;28,45;-
22.06.2019;15:00;28,69;28,69;28,69;17,74;-;28,21;-;23,47;29,68;35;28,03;36,38;28,69;-
22.06.2019;16:00;29,96;29,96;29,96;15,8;-;29,41;-;23,2;30,27;34,82;29;37,64;29,96;-
22.06.2019;17:00;33,15;33,15;33,15;17,91;-;32,37;-;32,35;33,01;36,41;32,5;39,41;33,15;-
22.06.2019;18:00;34,73;34,73;34,73;27,21;-;34,37;-;33,89;36,3;42,29;38,03;42,77;34,73;-
22.06.2019;19:00;37,91;37,91;37,91;34,8;-;37,91;-;37;36,68;45,1;39,5;46,85;37,58;-
22.06.2019;20:00;35,38;35,38;35,38;32,54;-;35,38;-;34,53;35,21;45,1;39;50,58;35,38;-
22.06.2019;21:00;32,63;32,63;32,63;30,85;-;32,63;-;31,84;34,58;46,3;37,2;49,24;32,63;-
22.06.2019;22:00;34,03;34,03;34,03;34,03;-;34,03;-;24,96;32,69;42,3;34,91;43,95;34,03;-
22.06.2019;23:00;29,58;29,58;29,58;29,58;-;29,58;-;22,87;29,59;29,58;30,2;34,03;29,58;-
23.06.2019;00:00;28,1;28,1;28,1;28,1;-;28,1;-;21,39;26,75;36,1;25,5;35,78;28,1;-
23.06.2019;01:00;26,76;26,76;26,76;23,48;-;26,94;-;16,92;24,3;34,1;22,01;27,31;26,76;-
23.06.2019;02:00;26,02;26,02;26,02;14,44;-;31,62;-;14,05;21,93;26,02;19,72;23,5;26,02;-
23.06.2019;03:00;25,33;25,33;25,33;6,54;-;36,39;-;8,22;20,24;25,33;17,3;19,93;25,33;-
23.06.2019;04:00;21,81;21,81;21,81;4,38;-;37,62;-;4,91;18,78;21,81;15;17,01;21,81;-
23.06.2019;05:00;21,81;21,81;21,81;-0,1;-;32,12;-;14,07;18,47;21,81;14,5;14,5;21,81;-
23.06.2019;06:00;21,19;21,19;21,19;-0,91;-;31,53;-;20,68;20,01;21,19;17;17;21,19;-
23.06.2019;07:00;21,89;21,89;21,89;5,07;-;34,8;-;21,89;22,53;21,89;20,6;25;21,89;-
23.06.2019;08:00;25,2;25,78;25,78;9,83;-;32,64;-;25,78;23,3;25,2;23;28,78;25,2;-
23.06.2019;09:00;24,95;25,72;25,72;9,21;-;32,59;-;25,72;20,17;25,1;24;31,05;24,95;-
23.06.2019;10:00;19,03;25,37;25,37;7,19;-;24,8;-;25,37;12,3;19,03;20;36,91;19,03;-
23.06.2019;11:00;16,96;24,17;24,17;8,23;-;24,8;-;24,17;11,2;36,1;19;35,6;16,96;-
23.06.2019;12:00;9,94;22,04;22,04;11,75;-;19;-;22,04;10,99;36,1;14,5;34,48;10,61;-
23.06.2019;13:00;2,58;21,8;21,8;5,03;-;14,9;-;21,8;5,7;35;12,6;30,07;3,48;-
23.06.2019;14:00;-4,27;22,14;22,14;0,01;-;16,86;-;22,14;0,74;34,1;7,01;28,02;-2,69;-
23.06.2019;15:00;-5,34;23,3;23,3;-0,92;-;22,55;-;23,3;0,92;25,1;10,6;31,12;-3,16;-
23.06.2019;16:00;0,04;26,48;26,48;0,04;-;24,59;-;26,48;5,15;2,07;13,5;34,76;2,07;-
23.06.2019;17:00;25,1;27,03;27,03;10,03;-;32,13;-;27,03;19,16;25,1;22,1;34,66;25,1;-
23.06.2019;18:00;28,75;28,75;28,75;16,99;-;32,44;-;28,75;30;28,75;32,8;34,67;28,75;-
23.06.2019;19:00;35,61;35,61;35,61;23,98;-;41,18;-;34,75;31,75;34,91;36,1;39,59;34,91;-
23.06.2019;20:00;36,35;36,35;36,35;19,1;-;47,87;-;35,47;32,88;42,2;36,11;47,05;34,91;-
23.06.2019;21:00;31,89;31,89;31,89;23,21;-;32,95;-;31,13;31,85;45,55;35,5;50,6;31,9;-
23.06.2019;22:00;34,19;34,19;34,19;34,19;-;34,19;-;29,77;31,59;36,1;35,26;38,5;34,19;-
23.06.2019;23:00;28,19;28,19;28,19;29,48;-;34,4;-;27,04;28,09;34,1;28,22;33,59;28,57;-
24.06.2019;00:00;26,97;26,97;26,97;26,97;-;26,97;-;26,32;25,09;26,97;28,02;28,02;26,97;-
