Datum;Uhrzeit;Gesamt[MWh]
09.06.2019;02:45;9.059,75
09.06.2019;03:00;9.044
09.06.2019;03:15;8.987
09.06.2019;03:30;8.942
09.06.2019;03:45;8.888,25
09.06.2019;04:00;8.922,25
09.06.2019;04:15;8.874,25
09.06.2019;04:30;8.808,25
09.06.2019;04:45;8.718
09.06.2019;05:00;8.742
09.06.2019;05:15;8.676,5
09.06.2019;05:30;8.710
09.06.2019;05:45;8.681,75
09.06.2019;06:00;8.662,25
09.06.2019;06:15;8.771,75
09.06.2019;06:30;8.950,5
09.06.2019;06:45;9.028
09.06.2019;07:00;9.263,75
09.06.2019;07:15;9.466,75
09.06.2019;07:30;9.686,25
09.06.2019;07:45;9.896,5
09.06.2019;08:00;10.127,75
09.06.2019;08:15;10.397,25
09.06.2019;08:30;10.667,25
09.06.2019;08:45;10.854,5
09.06.2019;09:00;11.023,75
09.06.2019;09:15;11.160,25
09.06.2019;09:30;11.265,25
09.06.2019;09:45;11.386,5
09.06.2019;10:00;11.466,5
09.06.2019;10:15;11.590
09.06.2019;10:30;11.621,75
09.06.2019;10:45;11.854,75
09.06.2019;11:00;12.020
09.06.2019;11:15;12.114
09.06.2019;11:30;12.213,25
09.06.2019;11:45;12.217,75
09.06.2019;12:00;12.295,25
09.06.2019;12:15;12.212,25
09.06.2019;12:30;12.083,75
09.06.2019;12:45;11.949,5
09.06.2019;13:00;11.789
09.06.2019;13:15;11.682,5
09.06.2019;13:30;11.580,5
09.06.2019;13:45;11.417
09.06.2019;14:00;11.337,75
09.06.2019;14:15;11.258,5
09.06.2019;14:30;11.172,75
09.06.2019;14:45;11.037,75
09.06.2019;15:00;11.027
09.06.2019;15:15;10.992,25
09.06.2019;15:30;10.895,75
09.06.2019;15:45;10.809,5
09.06.2019;16:00;10.847,25
09.06.2019;16:15;10.750,75
09.06.2019;16:30;10.799,75
09.06.2019;16:45;10.761,75
09.06.2019;17:00;10.873,5
09.06.2019;17:15;10.802
09.06.2019;17:30;10.798,75
09.06.2019;17:45;10.872
09.06.2019;18:00;10.901,5
09.06.2019;18:15;10.923,5
09.06.2019;18:30;10.911,75
09.06.2019;18:45;10.900,5
09.06.2019;19:00;10.899
09.06.2019;19:15;10.888,5
09.06.2019;19:30;10.882,5
09.06.2019;19:45;10.804,75
09.06.2019;20:00;10.875,75
09.06.2019;20:15;10.763,5
09.06.2019;20:30;10.704
09.06.2019;20:45;10.654,75
09.06.2019;21:00;10.649
09.06.2019;21:15;10.640,75
09.06.2019;21:30;10.663,5
09.06.2019;21:45;10.693,25
09.06.2019;22:00;10.754
09.06.2019;22:15;10.615
09.06.2019;22:30;10.530,75
09.06.2019;22:45;10.436,25
09.06.2019;23:00;10.211,5
09.06.2019;23:15;10.029,75
09.06.2019;23:30;9.870,5
09.06.2019;23:45;9.782,75
10.06.2019;00:00;9.670
10.06.2019;00:15;9.533
10.06.2019;00:30;9.440,25
10.06.2019;00:45;9.356,5
10.06.2019;01:00;9.157,75
10.06.2019;01:15;9.094,25
10.06.2019;01:30;9.022,25
10.06.2019;01:45;8.976,75
10.06.2019;02:00;8.964,75
10.06.2019;02:15;8.912,5
10.06.2019;02:30;8.885,75
10.06.2019;02:45;8.788,75
10.06.2019;03:00;8.749,5
10.06.2019;03:15;8.689,5
10.06.2019;03:30;8.712,25
10.06.2019;03:45;8.635
10.06.2019;04:00;8.723,25
10.06.2019;04:15;8.739,5
10.06.2019;04:30;8.739,25
10.06.2019;04:45;8.705,5
10.06.2019;05:00;8.701
10.06.2019;05:15;8.667,5
10.06.2019;05:30;8.709,25
10.06.2019;05:45;8.780
10.06.2019;06:00;8.934,5
10.06.2019;06:15;9.046,75
10.06.2019;06:30;9.138,75
10.06.2019;06:45;9.165,75
10.06.2019;07:00;9.284,75
10.06.2019;07:15;9.515,5
10.06.2019;07:30;9.630
10.06.2019;07:45;9.857,25
10.06.2019;08:00;10.102,75
10.06.2019;08:15;10.231,75
10.06.2019;08:30;10.473
10.06.2019;08:45;10.627,75
10.06.2019;09:00;10.823,25
10.06.2019;09:15;10.950,75
10.06.2019;09:30;11.036,75
10.06.2019;09:45;11.120,5
10.06.2019;10:00;11.323,75
10.06.2019;10:15;11.461
10.06.2019;10:30;11.541,75
10.06.2019;10:45;11.711,25
10.06.2019;11:00;11.829
10.06.2019;11:15;11.949,5
10.06.2019;11:30;12.111,5
10.06.2019;11:45;12.264,5
10.06.2019;12:00;12.182,25
10.06.2019;12:15;12.150,25
10.06.2019;12:30;12.127,5
10.06.2019;12:45;12.132
