Date;PVPP [MW]
30.12.2017;38,2
31.12.2017;36,9
01.01.2018;34,7
02.01.2018;48,3
03.01.2018;19,5
04.01.2018;57,2
05.01.2018;49,6
06.01.2018;97,5
07.01.2018;13,2
08.01.2018;10,4
09.01.2018;61,1
10.01.2018;9,4
11.01.2018;31,7
12.01.2018;19,5
13.01.2018;14,4
14.01.2018;53,9
15.01.2018;56,4
16.01.2018;22,1
17.01.2018;43,3
18.01.2018;25,1
19.01.2018;51,4
20.01.2018;60,8
21.01.2018;53,3
22.01.2018;82,7
23.01.2018;32,6
24.01.2018;60,5
25.01.2018;116,2
26.01.2018;56,8
27.01.2018;26,4
28.01.2018;57,1
29.01.2018;159,2
30.01.2018;229,9
31.01.2018;108,7
01.02.2018;34,4
02.02.2018;91,3
03.02.2018;75
04.02.2018;156,3
05.02.2018;111
06.02.2018;172,3
07.02.2018;24,2
08.02.2018;49,2
09.02.2018;64,4
10.02.2018;37,5
11.02.2018;119,7
12.02.2018;113,5
13.02.2018;185,2
14.02.2018;176,2
15.02.2018;173
16.02.2018;114,7
17.02.2018;55,4
18.02.2018;55,1
19.02.2018;316,3
20.02.2018;143,2
21.02.2018;295,9
22.02.2018;314,4
23.02.2018;292,6
24.02.2018;313,6
25.02.2018;407,9
26.02.2018;327,5
27.02.2018;264,7
28.02.2018;299,5
01.03.2018;361,4
02.03.2018;89,6
03.03.2018;289,8
04.03.2018;303,2
05.03.2018;91
06.03.2018;37,2
07.03.2018;152,4
08.03.2018;298
09.03.2018;212,5
10.03.2018;230,3
11.03.2018;320
12.03.2018;73,8
13.03.2018;215,1
14.03.2018;105,4
15.03.2018;269
16.03.2018;63,2
17.03.2018;45,1
18.03.2018;182,3
19.03.2018;228,2
20.03.2018;282,5
21.03.2018;411,9
22.03.2018;339,7
23.03.2018;113,5
24.03.2018;284,3
25.03.2018;306
26.03.2018;126,8
27.03.2018;228,4
28.03.2018;201,1
29.03.2018;260,6
30.03.2018;326,9
31.03.2018;124,5
01.04.2018;244,7
02.04.2018;393,2
03.04.2018;431,7
04.04.2018;340
05.04.2018;259,5
06.04.2018;484
07.04.2018;470,6
08.04.2018;307,4
09.04.2018;473,9
10.04.2018;400
11.04.2018;440,8
12.04.2018;413,5
13.04.2018;255,6
14.04.2018;490,5
15.04.2018;319,5
16.04.2018;105
17.04.2018;411,1
18.04.2018;525
19.04.2018;514,9
20.04.2018;522
21.04.2018;517,1
22.04.2018;496,8
23.04.2018;304
24.04.2018;417,7
25.04.2018;457,2
26.04.2018;297,2
27.04.2018;510,7
28.04.2018;496,8
29.04.2018;499,4
30.04.2018;470,1
01.05.2018;406,7
02.05.2018;430,5
03.05.2018;410,5
04.05.2018;463,4
05.05.2018;511,5
06.05.2018;562,2
07.05.2018;570,6
08.05.2018;431,5
09.05.2018;369,8
10.05.2018;409
11.05.2018;374,6
12.05.2018;457,5
13.05.2018;531,4
14.05.2018;484,2
15.05.2018;265,9
16.05.2018;238,8
17.05.2018;148,8
18.05.2018;466,2
19.05.2018;429,5
20.05.2018;550,7
21.05.2018;536,5
22.05.2018;492,1
23.05.2018;404,2
24.05.2018;376,3
25.05.2018;373,2
26.05.2018;511,5
27.05.2018;498,5
28.05.2018;463,4
29.05.2018;469,4
30.05.2018;379,7
31.05.2018;512,6
01.06.2018;346,6
02.06.2018;447,3
03.06.2018;392,2
04.06.2018;484,8
05.06.2018;448,1
06.06.2018;488,4
07.06.2018;479
08.06.2018;394,9
09.06.2018;374,1
10.06.2018;383,2
11.06.2018;415,5
12.06.2018;310,1
13.06.2018;179,1
14.06.2018;257,5
15.06.2018;443,1
16.06.2018;445,1
17.06.2018;387,6
18.06.2018;405,7
19.06.2018;386,3
20.06.2018;432,2
21.06.2018;472,1
22.06.2018;290,4
23.06.2018;278,2
24.06.2018;270,6
25.06.2018;337,8
26.06.2018;386,2
27.06.2018;385,6
28.06.2018;128,3
29.06.2018;435,5
30.06.2018;520,6
01.07.2018;464,1
02.07.2018;515,5
03.07.2018;546,3
04.07.2018;524,4
05.07.2018;437,7
06.07.2018;297,5
07.07.2018;525,1
08.07.2018;426,7
09.07.2018;386,5
10.07.2018;199,4
11.07.2018;274,6
12.07.2018;290,2
13.07.2018;366
14.07.2018;460,5
15.07.2018;468,3
16.07.2018;382,4
17.07.2018;326,1
18.07.2018;263,1
19.07.2018;432,4
20.07.2018;458,4
21.07.2018;419,2
22.07.2018;283,7
23.07.2018;421
24.07.2018;485,1
25.07.2018;418,8
26.07.2018;405,6
27.07.2018;435
28.07.2018;418,6
29.07.2018;443,6
30.07.2018;420,5
31.07.2018;475,7
01.08.2018;450,2
02.08.2018;409
03.08.2018;437,3
04.08.2018;417,2
05.08.2018;387,1
06.08.2018;507,5
07.08.2018;490,9
08.08.2018;404,8
09.08.2018;455,4
10.08.2018;239,6
11.08.2018;402,6
12.08.2018;492
13.08.2018;451,6
14.08.2018;328,7
15.08.2018;366
16.08.2018;433,5
17.08.2018;472
18.08.2018;421,4
19.08.2018;431,4
20.08.2018;427,9
21.08.2018;408,4
22.08.2018;443,5
23.08.2018;407,9
24.08.2018;241,4
25.08.2018;197,9
26.08.2018;338,2
27.08.2018;478,3
28.08.2018;370,7
29.08.2018;456
30.08.2018;233,2
31.08.2018;308,6
01.09.2018;98
02.09.2018;203,6
03.09.2018;200
04.09.2018;274
05.09.2018;407,2
06.09.2018;416
07.09.2018;299,2
08.09.2018;381,6
09.09.2018;377,1
10.09.2018;438,3
11.09.2018;351,3
12.09.2018;469
13.09.2018;277,3
14.09.2018;100,9
15.09.2018;329,4
16.09.2018;459,5
17.09.2018;430,9
18.09.2018;440,6
19.09.2018;344,7
20.09.2018;403,7
21.09.2018;396,2
22.09.2018;288,6
23.09.2018;111,9
24.09.2018;301,1
25.09.2018;299,5
26.09.2018;433,8
27.09.2018;347,5
28.09.2018;411,5
29.09.2018;423,1
30.09.2018;466,5
01.10.2018;191,6
02.10.2018;161,4
03.10.2018;222,3
04.10.2018;351,6
05.10.2018;428,5
06.10.2018;368,3
07.10.2018;196,7
08.10.2018;238,1
09.10.2018;304,8
10.10.2018;348
11.10.2018;380,3
12.10.2018;358,9
13.10.2018;367,7
14.10.2018;372,8
15.10.2018;276,7
16.10.2018;316,1
17.10.2018;269,7
18.10.2018;253,9
19.10.2018;158,6
20.10.2018;163,4
21.10.2018;169,6
22.10.2018;296
23.10.2018;88,7
24.10.2018;126,9
25.10.2018;75,8
26.10.2018;128,8
27.10.2018;45,4
28.10.2018;28,7
29.10.2018;61,4
30.10.2018;266
31.10.2018;308,4
01.11.2018;122,2
02.11.2018;174,9
03.11.2018;32,2
04.11.2018;108
05.11.2018;151
06.11.2018;221,7
07.11.2018;150
08.11.2018;78,9
09.11.2018;49,2
10.11.2018;58,8
11.11.2018;81,1
12.11.2018;56,4
13.11.2018;51,9
14.11.2018;216,1
15.11.2018;187,2
16.11.2018;198,2
17.11.2018;234,2
18.11.2018;178,9
19.11.2018;69,7
20.11.2018;22,3
21.11.2018;19,9
22.11.2018;19
23.11.2018;21,2
24.11.2018;15,8
25.11.2018;27,5
26.11.2018;27
27.11.2018;64,5
28.11.2018;172,5
29.11.2018;191,9
30.11.2018;68,5
01.12.2018;14,2
02.12.2018;13,2
03.12.2018;38,7
04.12.2018;58,9
05.12.2018;164
06.12.2018;40,3
07.12.2018;21,3
08.12.2018;78,1
09.12.2018;49,8
10.12.2018;62
11.12.2018;18,6
12.12.2018;22,5
13.12.2018;61,5
14.12.2018;42,5
15.12.2018;13
16.12.2018;14,5
17.12.2018;26,2
18.12.2018;52,9
19.12.2018;45,6
20.12.2018;13,5
21.12.2018;22,8
22.12.2018;31,7
23.12.2018;44,7
24.12.2018;45,3
25.12.2018;26,6
26.12.2018;37,4
27.12.2018;40,1
28.12.2018;89,4
29.12.2018;26,8
30.12.2018;28
31.12.2018;80,4
01.01.2019;15,5
02.01.2019;45,7
03.01.2019;23,3
04.01.2019;15,1
05.01.2019;28,3
06.01.2019;37,9
07.01.2019;41,4
08.01.2019;37,7
09.01.2019;23,4
10.01.2019;22,7
11.01.2019;70,4
